id,store_name,store_type,part_of_the_city,district,address,nationality,business_queue,num_of_cashiers,product,price_in_huf,position_on_the_shelf,discounted,person,date_time
01_1,Príma,Supermarket,outer,16,"Budapest, Imre u. 2, 1165",Hungarian,3,1,Coca Cola 0.5l plastic bottle,299,middle,no,Peter,9.28 07:15
01_2,Príma,Supermarket,outer,16,"Budapest, Imre u. 2, 1165",Hungarian,3,1,Nutella 400g,1249,top,no,Peter,9.28 07:15
02_1,Príma Mátyásföld,Supermarket,outer,16,"Budapest, Jókai Mór u. 2, 1167",Hungarian,1,2,Coca Cola 0.5l plastic bottle,269,middle,no,Peter,9.28 07:30
02_2,Príma Mátyásföld,Supermarket,outer,16,"Budapest, Jókai Mór u. 2, 1168",Hungarian,1,2,Nutella 400g,1249,top,no,Peter,9.28 07:30
03_1,Príma,Supermarket,outer,16,"Budapest, Centenáriumi stny. 24, 1165",Hungarian,5,1,Coca Cola 0.5l plastic bottle,299,middle,no,Peter,9.28 07:40
03_2,Príma,Supermarket,outer,16,"Budapest, Centenáriumi stny. 24, 1165",Hungarian,5,1,Nutella 400g,1249,top,no,Peter,9.28 07:40
04_1,Peti Csemege,Grocery Store,outer,16,"Budapest, Centenáriumi stny. 16, 1165",Hungarian,1,1,Coca Cola 0.5l plastic bottle,299,middle,no,Peter,9.28 07:50
04_2,Peti Csemege,Grocery Store,outer,16,"Budapest, Centenáriumi stny. 16, 1165",Hungarian,1,1,Nutella 400g,N/A,N/A,N/A,Peter,9.28 07:50
05_1,SPAR szupermarket,Supermarket,outer,16,"Budapest, Arany János u. 102, 1165",Dutch,3,2,Coca Cola 0.5l plastic bottle,259,middle,yes,Peter,9.28 08:00
05_2,SPAR szupermarket,Supermarket,outer,16,"Budapest, Arany János u. 102, 1165",Dutch,3,2,Nutella 400g,1289,top,yes,Peter,9.28 08:00
06_1,Manna ABC,General Store,inner,8,"Budapest, Baross u 1, 1085",Hungarian,4,2,Coca Cola 0.5l plastic bottle,309,middle,no,"Natalia, Xibei",9.28 10:20
06_2,Manna ABC,General Store,inner,8,"Budapest, Baross u 1, 1085",Hungarian,4,2,Nutella 400g,N/A,N/A,N/A,"Natalia, Xibei",9.28 10:20
07_1,Tesco Expressz,Supermarket,inner,9,"Budapest, Kálvin tér 7, 1091",British,2,1,Coca Cola 0.5l plastic bottle,275,top,no,"Natalia, Xibei",9.28 10:40
